date,opponent,venue,rcb_score,opponent_score,result,season
2025-03-22,KKR,Kolkata,177,174,Win,2025
2025-03-28,CSK,Chennai,196,146,Win,2025
2025-04-02,GT,Bengaluru,169,170,Loss,2025
2025-04-07,MI,Mumbai,221,209,Win,2025
2025-04-10,DC,Bengaluru,163,169,Loss,2025
2025-04-13,RR,Jaipur,175,173,Win,2025
2025-04-18,PBKS,Bengaluru,95,98,Loss,2025
2025-04-20,PBKS,Mullanpur,159,157,Win,2025
2025-04-24,RR,Bengaluru,205,194,Win,2025
2025-04-27,DC,Delhi,165,162,Win,2025
2025-05-03,CSK,Bengaluru,213,211,Win,2025
2025-05-23,SRH,Lucknow,189,231,Loss,2025
2025-05-27,LSG,Lucknow,230,227,Win,2025
2025-05-29,PBKS,Mullanpur,106,101,Win,2025
2025-06-03,PBKS,Ahmedabad,190,184,Win,2025
2026-03-28,SRH,Bengaluru,203,201,Win,2026
2026-04-05,CSK,Bengaluru,250,207,Win,2026
2026-04-10,RR,Guwahati,201,202,Loss,2026
2026-04-12,MI,Mumbai,240,222,Win,2026
2026-04-15,LSG,Bengaluru,149,146,Win,2026
2026-04-18,DC,Bengaluru,175,179,Loss,2026
2026-04-24,GT,Bengaluru,206,205,Win,2026
2026-04-27,DC,Delhi,77,75,Win,2026
2026-04-30,GT,Ahmedabad,155,158,Loss,2026
2026-05-07,LSG,Lucknow,203,209,Loss,2026
2026-05-10,MI,Raipur,167,166,Win,2026
2026-05-13,KKR,Raipur,194,192,Win,2026
2026-05-17,PBKS,Dharamsala,222,199,Win,2026
2026-05-22,SRH,Hyderabad,200,255,Loss,2026
2026-05-26,GT,Dharamsala,254,162,Win,2026
