date,opponent,venue,rcb_score,opponent_score,result
2026-03-28,SRH,Bengaluru,203,201,Win
2026-04-05,CSK,Bengaluru,250,207,Win
2026-04-10,RR,Guwahati,201,202,Loss
2026-04-12,MI,Mumbai,240,222,Win
2026-04-15,LSG,Bengaluru,149,146,Win
2026-04-18,DC,Bengaluru,175,179,Loss
2026-04-24,GT,Bengaluru,206,205,Win
2026-04-27,DC,Delhi,77,75,Win
2026-04-30,GT,Ahmedabad,155,158,Loss
2026-05-07,LSG,Lucknow,203,209,Loss
2026-05-10,MI,Raipur,167,166,Win
2026-05-13,KKR,Raipur,194,192,Win
2026-05-17,PBKS,Dharamsala,222,199,Win
2026-05-22,SRH,Hyderabad,200,255,Loss
2026-05-26,GT,Dharamsala,254,162,Win
